accession_id,phenotype_value
DH_1,0.272136590253757
DH_2,4.0196720847524
DH_3,0.121835324657321
DH_4,0.60591063009931
DH_5,0.552998233725102
DH_6,0.0101114249774337
DH_7,0.313157859690115
DH_8,0.107307977760242
DH_9,0.365145767953469
DH_10,7.76800540711838
DH_11,0.269951886392012
DH_12,0.934999991015924
DH_13,17.6402184760926
DH_14,0.0387640621237476
DH_15,2.4423604241299
DH_16,0.00884414919343776
DH_17,0.48591300140364
DH_18,2.28671454776497
DH_19,0.00657734964144883
DH_20,0.936859323706533
DH_21,4.0196720847524
DH_22,0.173801971687865
DH_23,5.28426914217139e-05
DH_24,0.313157859690115
DH_25,0.00721291447607285
DH_26,0.753510869428266
DH_27,0.048313381058374
DH_28,0.000106129578888526
DH_29,0.000103679605634634
DH_30,0.0444321083522115
DH_31,1.38255723626266
DH_32,0.277746393746213
DH_33,0.129938124497683
DH_34,0.155016424733077
DH_35,1.06492845973199
DH_36,0.0021656982028868
DH_37,1.49270900750059
DH_38,2.93762399294552
DH_39,0.887105183458566
DH_40,0.053471728610209
DH_41,0.286866199922658
DH_42,1.06492845973199
DH_43,0.0750796849340701
DH_44,0.0570080306404423
DH_45,3.69652802720648
DH_46,8.18366756967247
DH_47,0.6073666566793
DH_48,0.889893044620331
DH_49,1.89285827965332
DH_50,1.89285827965332
DH_51,1.33131606275659
DH_52,0.161699445633141
DH_53,1.33131606275659
DH_54,0.726768433512245
DH_55,0.190044966332181
DH_56,0.523303676032676
DH_57,0.0387640621237476
DH_58,4.98983782429093
DH_59,0.545732508069931
DH_60,0.0877082647320779
DH_61,0.0877082647320779
DH_62,1.10473570053542
DH_63,2.16043443127848e-06
DH_64,9.77134233680396
DH_65,0.0773046128274791
DH_66,0.112954936140488
DH_67,0.0228519165974306
DH_68,0.177781173269504
DH_69,7.76800540711838
DH_70,0.0296737924808149
DH_71,0.333442814511813
DH_72,0.442669537959318
DH_73,0.127161129914398
DH_74,0.037842773604314
DH_75,0.184397289813539
DH_76,0.459505881441939
DH_77,0.5905148033357
DH_78,0.523444511819192
DH_79,0.0901825943301137
DH_80,0.573583184643852
DH_81,6.21201563359074
DH_82,0.43524253140265
DH_83,0.495070886812014
DH_84,0.231923338523182
DH_85,0.495070886812014
DH_86,2.16043443127848e-06
DH_87,0.261289985051328
DH_88,31.4150140006303
DH_89,0.410463373762093
DH_90,0.43437885296911
DH_91,2.93762399294552
DH_92,1.46409017990828
DH_93,2.16043443127848e-06
DH_94,0.542868744880447
DH_95,0.387695730500069
DH_96,0.442669537959318
DH_97,0.573583184643852
DH_98,0.0516760438787568
DH_99,9.77134233680396
DH_100,0.124920149567815
